tof_t1 ,83.51, tof_t2 ,149.07,,,,
tof_t1 ,83.64, tof_t2 ,149.31,,83.53076923,,149.6246154
tof_t1 ,83.52, tof_t2 ,149.08,,0.051595947,,0.448559619
tof_t1 ,83.48, tof_t2 ,149.69,,,,
tof_t1 ,83.51, tof_t2 ,150.23,,,,
tof_t1 ,83.54, tof_t2 ,148.61,,,,
tof_t1 ,83.52, tof_t2 ,148.96,,,,
tof_t1 ,83.52, tof_t2 ,149.7,,,,
tof_t1 ,83.6, tof_t2 ,149.96,,,,
tof_t1 ,83.58, tof_t2 ,148.81,,,,
tof_t1 ,83.51, tof_t2 ,149.28,,,,
tof_t1 ,83.53, tof_t2 ,149.15,,,,
tof_t1 ,83.52, tof_t2 ,150.05,,,,
tof_t1 ,83.46, tof_t2 ,149.58,,,,
tof_t1 ,83.57, tof_t2 ,150.03,,,,
tof_t1 ,83.62, tof_t2 ,149.19,,,,
tof_t1 ,83.65, tof_t2 ,148.38,,,,
tof_t1 ,83.58, tof_t2 ,149.83,,,,
tof_t1 ,83.51, tof_t2 ,149.75,,,,
tof_t1 ,83.49, tof_t2 ,149.54,,,,
tof_t1 ,83.47, tof_t2 ,149.16,,,,
tof_t1 ,83.56, tof_t2 ,149.77,,,,
tof_t1 ,83.49, tof_t2 ,149.31,,,,
tof_t1 ,83.48, tof_t2 ,149.68,,,,
tof_t1 ,83.52, tof_t2 ,150.04,,,,
tof_t1 ,83.55, tof_t2 ,149.81,,,,
tof_t1 ,83.53, tof_t2 ,149.95,,,,
tof_t1 ,83.5, tof_t2 ,149.6,,,,
tof_t1 ,83.68, tof_t2 ,149.85,,,,
tof_t1 ,83.62, tof_t2 ,149.51,,,,
tof_t1 ,83.53, tof_t2 ,149.39,,,,
tof_t1 ,83.54, tof_t2 ,149.92,,,,
tof_t1 ,83.52, tof_t2 ,149.92,,,,
tof_t1 ,83.47, tof_t2 ,150.28,,,,
tof_t1 ,83.57, tof_t2 ,150.15,,,,
tof_t1 ,83.44, tof_t2 ,149.84,,,,
tof_t1 ,83.55, tof_t2 ,149.53,,,,
tof_t1 ,83.55, tof_t2 ,149.82,,,,
tof_t1 ,83.45, tof_t2 ,150.01,,,,
tof_t1 ,83.55, tof_t2 ,150.1,,,,
tof_t1 ,83.51, tof_t2 ,148.95,,,,
tof_t1 ,83.52, tof_t2 ,149.77,,,,
tof_t1 ,83.48, tof_t2 ,149.9,,,,
tof_t1 ,83.51, tof_t2 ,148.78,,,,
tof_t1 ,83.51, tof_t2 ,149.97,,,,
tof_t1 ,83.48, tof_t2 ,150.22,,,,
tof_t1 ,83.49, tof_t2 ,150.04,,,,
tof_t1 ,83.53, tof_t2 ,150.02,,,,
tof_t1 ,83.55, tof_t2 ,149.6,,,,
tof_t1 ,83.52, tof_t2 ,149.92,,,,
tof_t1 ,83.47, tof_t2 ,150,,,,
tof_t1 ,83.6, tof_t2 ,149.47,,,,
