tof_t1 , 76.48, tof_t2 , 284.53
tof_t1 , 76.43, tof_t2 , 281.96
tof_t1 , 76.41, tof_t2 , 284.42
tof_t1 , 76.47, tof_t2 , 282.91
tof_t1 , 76.47, tof_t2 , 281.99
tof_t1 , 76.45, tof_t2 , 283.57
tof_t1 , 76.48, tof_t2 , 281.50
tof_t1 , 76.46, tof_t2 , 284.26
tof_t1 , 76.45, tof_t2 , 283.26
tof_t1 , 76.49, tof_t2 , 282.20
tof_t1 , 76.46, tof_t2 , 282.08
tof_t1 , 76.47, tof_t2 , 281.55
tof_t1 , 76.45, tof_t2 , 282.48
tof_t1 , 76.48, tof_t2 , 281.31
tof_t1 , 76.57, tof_t2 , 281.18
tof_t1 , 76.54, tof_t2 , 279.98
tof_t1 , 76.53, tof_t2 , 280.66
tof_t1 , 76.44, tof_t2 , 282.28
tof_t1 , 76.47, tof_t2 , 280.40
tof_t1 , 76.44, tof_t2 , 280.97
tof_t1 , 76.46, tof_t2 , 279.69
tof_t1 , 76.47, tof_t2 , 281.70
tof_t1 , 76.47, tof_t2 , 282.06
tof_t1 , 76.43, tof_t2 , 282.89
tof_t1 , 76.54, tof_t2 , 281.55
tof_t1 , 76.45, tof_t2 , 279.20
tof_t1 , 76.44, tof_t2 , 281.39
tof_t1 , 76.48, tof_t2 , 282.24
tof_t1 , 76.52, tof_t2 , 281.29
tof_t1 , 76.48, tof_t2 , 280.05
tof_t1 , 76.51, tof_t2 , 281.38
tof_t1 , 76.50, tof_t2 , 279.17
tof_t1 , 76.59, tof_t2 , 282.30
tof_t1 , 76.49, tof_t2 , 280.87
tof_t1 , 76.57, tof_t2 , 279.57
tof_t1 , 76.48, tof_t2 , 280.44
tof_t1 , 76.44, tof_t2 , 279.44
tof_t1 , 76.45, tof_t2 , 282.42
tof_t1 , 76.45, tof_t2 , 280.57
tof_t1 , 76.49, tof_t2 , 280.40
tof_t1 , 76.55, tof_t2 , 279.45
tof_t1 , 76.49, tof_t2 , 279.62
tof_t1 , 76.65, tof_t2 , 280.39
tof_t1 , 76.63, tof_t2 , 281.72
tof_t1 , 76.48, tof_t2 , 281.97
tof_t1 , 76.53, tof_t2 , 280.19
tof_t1 , 76.50, tof_t2 , 280.74
tof_t1 , 76.54, tof_t2 , 280.47
tof_t1 , 76.47, tof_t2 , 280.05
tof_t1 , 76.45, tof_t2 , 279.82
tof_t1 , 76.48, tof_t2 , 281.97
tof_t1 , 76.44, tof_t2 , 281.39
tof_t1 , 76.50, tof_t2 , 279.72
tof_t1 , 76.52, tof_t2 , 280.24
tof_t1 , 76.46, tof_t2 , 279.17
tof_t1 , 76.52, tof_t2 , 280.17
tof_t1 , 76.55, tof_t2 , 279.92
tof_t1 , 76.54, tof_t2 , 278.59
tof_t1 , 76.45, tof_t2 , 280.06
tof_t1 , 76.51, tof_t2 , 279.57
tof_t1 , 76.62, tof_t2 , 278.48
tof_t1 , 76.55, tof_t2 , 279.00
tof_t1 , 76.49, tof_t2 , 279.85
tof_t1 , 76.51, tof_t2 , 280.70
tof_t1 , 76.58, tof_t2 , 279.93
tof_t1 , 76.52, tof_t2 , 281.70
tof_t1 , 76.51, tof_t2 , 281.50
tof_t1 , 76.44, tof_t2 , 279.13
tof_t1 , 76.60, tof_t2 , 280.23
tof_t1 , 76.49, tof_t2 , 279.61
tof_t1 , 76.51, tof_t2 , 280.30
tof_t1 , 76.54, tof_t2 , 280.08
tof_t1 , 76.53, tof_t2 , 278.79
tof_t1 , 76.50, tof_t2 , 279.40
tof_t1 , 76.55, tof_t2 , 279.40
tof_t1 , 76.55, tof_t2 , 278.21
tof_t1 , 76.49, tof_t2 , 280.16
tof_t1 , 76.54, tof_t2 , 278.63
tof_t1 , 76.46, tof_t2 , 278.49
tof_t1 , 76.50, tof_t2 , 280.02
tof_t1 , 76.54, tof_t2 , 278.80
tof_t1 , 76.52, tof_t2 , 278.56
tof_t1 , 76.52, tof_t2 , 278.76
tof_t1 , 76.54, tof_t2 , 276.25
tof_t1 , 76.59, tof_t2 , 277.15
tof_t1 , 76.58, tof_t2 , 275.58
tof_t1 , 76.56, tof_t2 , 275.63
tof_t1 , 76.60, tof_t2 , 276.31
tof_t1 , 76.57, tof_t2 , 275.08
tof_t1 , 76.59, tof_t2 , 273.59
tof_t1 , 76.59, tof_t2 , 272.12
tof_t1 , 76.61, tof_t2 , 273.16
tof_t1 , 76.61, tof_t2 , 270.17
tof_t1 , 76.64, tof_t2 , 271.18
tof_t1 , 76.61, tof_t2 , 268.53
tof_t1 , 76.64, tof_t2 , 269.49
tof_t1 , 76.70, tof_t2 , 266.84
tof_t1 , 76.75, tof_t2 , 265.11
tof_t1 , 76.72, tof_t2 , 263.06
tof_t1 , 76.82, tof_t2 , 263.63
tof_t1 , 76.71, tof_t2 , 261.68
tof_t1 , 76.74, tof_t2 , 261.19
tof_t1 , 76.81, tof_t2 , 257.99
tof_t1 , 76.90, tof_t2 , 256.24
tof_t1 , 76.76, tof_t2 , 255.92
tof_t1 , 76.84, tof_t2 , 252.25
tof_t1 , 76.84, tof_t2 , 252.60
tof_t1 , 76.99, tof_t2 , 253.39
tof_t1 , 76.86, tof_t2 , 252.14
tof_t1 , 76.86, tof_t2 , 252.10
tof_t1 , 76.95, tof_t2 , 249.42
tof_t1 , 76.90, tof_t2 , 249.50
tof_t1 , 76.86, tof_t2 , 247.96
tof_t1 , 76.95, tof_t2 , 245.91
tof_t1 , 76.97, tof_t2 , 244.04
tof_t1 , 76.99, tof_t2 , 245.22
tof_t1 , 77.02, tof_t2 , 240.52
tof_t1 , 77.02, tof_t2 , 240.56
tof_t1 , 77.04, tof_t2 , 240.00
tof_t1 , 77.06, tof_t2 , 240.06
tof_t1 , 77.06, tof_t2 , 239.85
tof_t1 , 77.06, tof_t2 , 237.91
tof_t1 , 77.04, tof_t2 , 239.48
tof_t1 , 77.12, tof_t2 , 238.31
tof_t1 , 77.05, tof_t2 , 238.41
tof_t1 , 76.99, tof_t2 , 238.11
tof_t1 , 76.95, tof_t2 , 237.80
tof_t1 , 77.12, tof_t2 , 237.41
tof_t1 , 77.15, tof_t2 , 237.86
tof_t1 , 77.09, tof_t2 , 236.82
tof_t1 , 77.07, tof_t2 , 237.85
tof_t1 , 77.02, tof_t2 , 237.53
tof_t1 , 77.09, tof_t2 , 237.04
tof_t1 , 77.25, tof_t2 , 237.38
