tof_t1 ,75.97, tof_t2 ,482.65,,75.96961538,,482.5353846
tof_t1 ,75.96, tof_t2 ,487.22,,0.056509792,,2.875202847
tof_t1 ,75.99, tof_t2 ,486.65,,,,
tof_t1 ,75.98, tof_t2 ,485.56,,,,
tof_t1 ,75.96, tof_t2 ,484.16,,,,
tof_t1 ,75.96, tof_t2 ,479.97,,,,
tof_t1 ,75.94, tof_t2 ,484.89,,,,
tof_t1 ,75.92, tof_t2 ,481.32,,,,
tof_t1 ,75.94, tof_t2 ,485.85,,,,
tof_t1 ,75.91, tof_t2 ,485.28,,,,
tof_t1 ,76.09, tof_t2 ,480.66,,,,
tof_t1 ,76.01, tof_t2 ,482.98,,,,
tof_t1 ,76.01, tof_t2 ,483.32,,,,
tof_t1 ,75.96, tof_t2 ,479.71,,,,
tof_t1 ,75.94, tof_t2 ,482.2,,,,
tof_t1 ,75.96, tof_t2 ,484.81,,,,
tof_t1 ,75.95, tof_t2 ,487.29,,,,
tof_t1 ,76.05, tof_t2 ,485.08,,,,
tof_t1 ,75.96, tof_t2 ,479.74,,,,
tof_t1 ,75.94, tof_t2 ,486.9,,,,
tof_t1 ,75.87, tof_t2 ,483.57,,,,
tof_t1 ,75.97, tof_t2 ,487.46,,,,
tof_t1 ,75.93, tof_t2 ,488.01,,,,
tof_t1 ,76.04, tof_t2 ,484.28,,,,
tof_t1 ,76.05, tof_t2 ,480.95,,,,
tof_t1 ,75.88, tof_t2 ,485.43,,,,
tof_t1 ,75.91, tof_t2 ,484.5,,,,
tof_t1 ,75.96, tof_t2 ,475.32,,,,
tof_t1 ,75.92, tof_t2 ,481.63,,,,
tof_t1 ,75.94, tof_t2 ,482.4,,,,
tof_t1 ,75.85, tof_t2 ,481.72,,,,
tof_t1 ,75.94, tof_t2 ,483.76,,,,
tof_t1 ,75.95, tof_t2 ,482.3,,,,
tof_t1 ,75.98, tof_t2 ,478.08,,,,
tof_t1 ,75.96, tof_t2 ,486.65,,,,
tof_t1 ,75.99, tof_t2 ,479.2,,,,
tof_t1 ,75.92, tof_t2 ,482.19,,,,
tof_t1 ,75.96, tof_t2 ,474.6,,,,
tof_t1 ,75.89, tof_t2 ,484.57,,,,
tof_t1 ,76.1, tof_t2 ,484.53,,,,
tof_t1 ,75.95, tof_t2 ,484.42,,,,
tof_t1 ,75.97, tof_t2 ,483.55,,,,
tof_t1 ,75.9, tof_t2 ,481.02,,,,
tof_t1 ,75.94, tof_t2 ,485.31,,,,
tof_t1 ,75.99, tof_t2 ,479.54,,,,
tof_t1 ,75.95, tof_t2 ,481.93,,,,
tof_t1 ,76.06, tof_t2 ,480.61,,,,
tof_t1 ,76.03, tof_t2 ,484.97,,,,
tof_t1 ,76.1, tof_t2 ,479.04,,,,
tof_t1 ,75.94, tof_t2 ,480.41,,,,
tof_t1 ,75.94, tof_t2 ,478.72,,,,
tof_t1 ,76.04, tof_t2 ,483.35,,,,
tof_t1 ,75.96, tof_t2 ,486.2,,,,
tof_t1 ,75.95, tof_t2 ,483.12,,,,
tof_t1 ,76, tof_t2 ,482.85,,,,
tof_t1 ,75.91, tof_t2 ,479.67,,,,
tof_t1 ,75.92, tof_t2 ,486.13,,,,
tof_t1 ,75.96, tof_t2 ,486.2,,,,
tof_t1 ,75.97, tof_t2 ,482.13,,,,
tof_t1 ,76, tof_t2 ,480.26,,,,
tof_t1 ,75.96, tof_t2 ,482.97,,,,
tof_t1 ,76.08, tof_t2 ,483.99,,,,
tof_t1 ,76, tof_t2 ,481.2,,,,
tof_t1 ,75.89, tof_t2 ,481.54,,,,
tof_t1 ,75.89, tof_t2 ,481.57,,,,
tof_t1 ,76.02, tof_t2 ,482.49,,,,
tof_t1 ,76.15, tof_t2 ,477.12,,,,
tof_t1 ,75.97, tof_t2 ,481.01,,,,
tof_t1 ,75.96, tof_t2 ,479.35,,,,
tof_t1 ,75.96, tof_t2 ,479.52,,,,
tof_t1 ,75.95, tof_t2 ,483.27,,,,
tof_t1 ,76, tof_t2 ,480.38,,,,
tof_t1 ,75.97, tof_t2 ,484.83,,,,
tof_t1 ,75.97, tof_t2 ,481.37,,,,
tof_t1 ,75.97, tof_t2 ,481.66,,,,
tof_t1 ,75.99, tof_t2 ,480.17,,,,
tof_t1 ,76.09, tof_t2 ,476.34,,,,
tof_t1 ,75.92, tof_t2 ,482.16,,,,
