tof_t1 ,84.56, tof_t2 ,148.06,,,,
tof_t1 ,84.53, tof_t2 ,149.51,,84.5953,,148.7708
tof_t1 ,84.57, tof_t2 ,149.98,,0.046700214,,0.586904899
tof_t1 ,84.65, tof_t2 ,148.64,,,,
tof_t1 ,84.56, tof_t2 ,148.67,,,,
tof_t1 ,84.59, tof_t2 ,149.35,,,,
tof_t1 ,84.63, tof_t2 ,148.91,,,,
tof_t1 ,84.66, tof_t2 ,148.41,,,,
tof_t1 ,84.61, tof_t2 ,149.01,,,,
tof_t1 ,84.56, tof_t2 ,149.98,,,,
tof_t1 ,84.56, tof_t2 ,148.74,,,,
tof_t1 ,84.6, tof_t2 ,148.47,,,,
tof_t1 ,84.59, tof_t2 ,148.61,,,,
tof_t1 ,84.57, tof_t2 ,148.23,,,,
tof_t1 ,84.59, tof_t2 ,149.07,,,,
tof_t1 ,84.63, tof_t2 ,149.38,,,,
tof_t1 ,84.65, tof_t2 ,148.52,,,,
tof_t1 ,84.53, tof_t2 ,149.68,,,,
tof_t1 ,84.64, tof_t2 ,149.9,,,,
tof_t1 ,84.59, tof_t2 ,148.84,,,,
tof_t1 ,84.59, tof_t2 ,148.45,,,,
tof_t1 ,84.58, tof_t2 ,148.36,,,,
tof_t1 ,84.6, tof_t2 ,149.25,,,,
tof_t1 ,84.58, tof_t2 ,148.59,,,,
tof_t1 ,84.63, tof_t2 ,148.7,,,,
tof_t1 ,84.59, tof_t2 ,148.16,,,,
tof_t1 ,84.59, tof_t2 ,147.83,,,,
tof_t1 ,84.5, tof_t2 ,149.75,,,,
tof_t1 ,84.76, tof_t2 ,148.61,,,,
tof_t1 ,84.52, tof_t2 ,148.36,,,,
tof_t1 ,84.67, tof_t2 ,147.69,,,,
tof_t1 ,84.6, tof_t2 ,148.2,,,,
tof_t1 ,84.56, tof_t2 ,149.68,,,,
tof_t1 ,84.77, tof_t2 ,148.75,,,,
tof_t1 ,84.58, tof_t2 ,149.78,,,,
tof_t1 ,84.59, tof_t2 ,149.01,,,,
tof_t1 ,84.64, tof_t2 ,149,,,,
tof_t1 ,84.58, tof_t2 ,148.77,,,,
tof_t1 ,84.59, tof_t2 ,148.51,,,,
tof_t1 ,84.59, tof_t2 ,148.51,,,,
tof_t1 ,84.56, tof_t2 ,149.07,,,,
tof_t1 ,84.54, tof_t2 ,149.2,,,,
